GEOID,phi_base,phi_GEO,phi_total_pop,phi_int_total_pop,phi_sex_ratio,phi_int_sex_ratio,phi_pct_black,phi_int_pct_black,phi_pct_hisp,phi_int_pct_hisp,phi_pct_bach,phi_int_pct_bach,phi_median_income,phi_int_median_income,phi_pct_65_over,phi_int_pct_65_over,phi_pct_age_18_29,phi_int_pct_age_18_29,phi_gini,phi_int_gini,phi_pct_manuf,phi_int_pct_manuf,phi_ln_pop_den,phi_int_ln_pop_den,phi_pct_3rd_party,phi_int_pct_3rd_party,phi_turn_out,phi_int_turn_out,phi_pct_fb,phi_int_pct_fb,phi_pct_uninsured,phi_int_pct_uninsured
37151,36.985217997340854,0.14727909870066896,-1.2750331698791644,-0.08926727031864523,-1.02986115057206,-0.09773054061577319,2.2475142349725163,0.477587301983225,0.5872823767700577,-0.08544110807670348,-7.245718527929666,-0.15279501156788247,0.14632243033703035,-0.34317504414945077,-3.5368702730055936,0.12837424193032923,0.8327592392774408,-0.04308423532437824,-0.24279672526404905,-0.2204875876687688,-0.531820336004597,-0.456493272715475,-0.24315569200558002,0.12043059943262535,-0.7471636678212101,-0.23472680013222025,0.35059501785388025,-0.1804375368768249,-1.0330305760872067,0.10734783101852297,0.3103599920999637,-0.40356684321507225
17101,36.985217997340854,-0.5762508994727099,-0.37447440271291305,0.3695584558740012,2.6626359768275214,0.2650347824917486,-0.36153532268470423,-0.3048119597110164,-0.8550234472794676,-0.6526476205149799,-6.04394060636904,0.33739739102354277,-1.971896762366482,-0.15316526239498757,-4.07510849394246,0.25822956509616274,0.8591009240392099,-0.009314214401099908,0.07306327418069296,-0.040375080202666995,-0.23589294538398833,-0.0641641207571019,-0.4706655091330444,-0.002672807131260784,-0.515475697830837,0.23139959598227575,0.11959377986064916,-0.1538704605504478,0.014330900951472145,0.08939859614795444,-0.05306399562184656,-0.11411375502093565
12003,36.985217997340854,-0.7359270286339965,-0.7138788855765477,-0.003929948918860476,-4.1612302363004545,0.0807745667391259,-0.45095812123174434,-0.27753969310207005,-0.1864475814267879,-0.09331039632851992,-4.912339442255764,-0.05277013882257968,-2.9339569488338197,-0.007925857477997345,-4.263291122818074,0.5805832141640167,-0.6084928083312524,-0.011229831372395308,-0.29231635481341983,-0.25872836948932226,-0.4270710788059269,-0.5780210927686443,-0.26121106298419816,0.16254176288622313,-0.09331376060286006,-0.06368857884797538,0.13812374366363125,-0.15191919213269087,-1.4424677136280093,0.3662898345900643,0.09984559119661993,-0.07650633792796604
53003,36.985217997340854,-0.3746150281320872,-2.3285509774077684,-2.598506391659659,8.66459137269347,-0.8779019090511062,-0.3409388358100204,-0.01077500441390942,0.7999965790567829,0.05214857910117994,-7.8521061321865435,1.4918844479582738,-1.6578661472525655,0.22554086114696167,-1.62476966886847,1.0556373737798115,0.0626928050870655,0.10400783231843339,0.7365786677751145,0.3844639802904779,-0.3719178912553061,0.42536677851145893,-0.5337743926383102,-0.26602949453479485,-0.527385571051622,0.07083864344402055,0.4362440013628149,0.394461625034919,1.8719694280400945,2.2045086096800497,0.1305323627010943,-0.3075752375824944
19011,36.985217997340854,-2.2509458019025863,1.012354461973962,1.9560506648964602,7.000456788260351,2.331400206740153,-0.25476833943049537,0.4368967979779673,0.1996190464136756,-0.0017042778282145953,-8.716772221429386,1.3474647222947604,-3.1035909980751515,-0.34571713155889344,-1.4484235943018446,0.8904221107805613,-0.5622141766590726,0.3823931370679963,0.06560849566857815,0.19781757120721205,-0.5133559880979094,0.3018719124363107,-0.3257892520741531,0.17969887330206874,-0.5492031646419415,0.08205512417361074,0.23281287608261242,0.259345156275958,1.2597787494528556,0.8490034246573069,0.32581161779418083,-0.5232087550851497
31007,36.985217997340854,3.224096014170654,-7.160078051235942,-2.7635250228807964,3.5289661522184588,-1.265826902560849,-5.485936185628273,-0.909985964355178,0.507610225495949,-0.1450581923246511,-9.019940925904988,-0.01626995100552677,-1.3306236464394678,-0.25037790115157305,-2.057106501523086,-0.08187442039514442,0.2446407985690354,0.1949569756974462,-0.3059472384892805,-0.02142556064787757,0.15141941971718126,0.5000373560458188,0.20808420975582073,0.047004906751303636,0.37860437655435,-0.34787740142544854,-2.577053191870738,-0.5112280784228981,-0.6600892135130304,-0.14651117786331583,0.27811664201808944,-0.5343895804863511
40025,36.985217997340854,3.0184068822167065,-6.659652459422818,-1.4247315297454732,-0.6476168956418886,0.23783385229025722,-3.0094061174990814,-0.5832631495519973,0.15710910323776484,-0.38987732108753914,-9.662238845624639,-1.1241183079249084,2.0633252779773477,-0.5467169429055705,-2.3964002971385923,-1.0516578570861257,0.33893304216899106,-0.6646822156083108,1.0065523569649972,0.32789489050263554,-0.5203217274242847,-0.07874531654434665,-0.20866454188895064,-0.4691243655458665,0.4453517576132423,0.12244989160730639,-1.7407167949372222,-0.21868689412114897,-0.9635096963868683,-0.23120031251189976,0.1958067958186763,-0.2542122072585796
40147,36.985217997340854,-1.681359094636735,-1.6403207654358625,-0.2666455290529986,-0.6388236048467728,0.35953701180305364,0.4840497556385531,0.07147207387276808,0.262629096408841,-0.22949703247249822,-7.5869779901330805,0.8400313190781448,-1.3446759675702933,-0.08527437603115687,0.5170672065830421,0.6601212133249342,0.11257457265920276,-0.05239886747739312,0.21366344754333336,0.06371898538122335,-0.3517603479246138,-0.1612780192975283,0.5066643786262067,-0.0709517445357531,-0.44858389281420863,-0.10369946060745461,0.47287365050229846,-0.15406223808818945,1.2324430881289699,0.4364261439769674,-0.19266512091156088,-0.1780541765779906
41053,36.985217997340854,1.8423456748325908,5.224845314167352,-1.9087891345461663,7.999606856265776,-2.0441939227895287,0.6051725128515143,-0.14969504797272604,0.5328716235286578,-0.06501321154706671,-7.326831334613894,1.4277477055518386,0.6287309062923907,-0.3369463156487521,3.326700728877183,4.087825098751979,-0.9786678236849935,-0.24935501468473661,0.034260718487600636,-0.047145197195564384,0.5519231921692818,-0.889665483788234,-0.7913086291475635,-0.4389194540040502,-0.00825837764310921,0.003938064295335594,0.387591158348,-0.18505835574071372,1.3083459955660053,0.8733124664317607,0.09211154653304093,0.06135782097399127
51840,36.985217997340854,0.6881646790883102,1.6078873332188497,-0.2581411925660825,3.227875815124522,0.4868190225300336,-0.1772233926718831,0.13425061276477016,0.14191149318607815,-0.4462022847649556,-4.457628793692148,0.9829602795513939,1.3873281663951469,-0.19112976773908447,5.91706190306809,3.855341988244458,-0.561406124449253,-0.6576065724962897,-0.6016359271699402,-0.4578971636116521,1.8233516552795652,0.42171563867403233,-0.5075196705201261,-0.4189137500834697,-0.10618494726582146,-0.07205069983574997,8.278986996252637,0.1266237832240613,1.0348346960909731,-0.10432898024793835,-0.4367427290287537,-0.4194551061687335
